Road Marker adversarial %,0,10,20,30,40,50,75,AVERAGE
Color accuracy adversarial accuracy %,0.970,0.920,0.868,0.769,0.611,0.550,0.229,0.702
Black and White adversarial accuracy %,0.970,0.830,0.700,0.675,0.599,0.501,0.322,0.657
